,,,,,,,,,,
"Stock Market Data Used in ""Irrational Exuberance"" Princeton University Press, 2000, 2005, 2015, updated",,,,,,,,,,Cyclically
Robert J. Shiller ,,,,,,,,,,Adjusted
,,,,,,,,,,Price
,,,,  Consumer,,,,,,Earnings
,S&P,,,Price,,Long,,,,Ratio
,Comp.,Dividend,Earnings,Index,Date  ,Interest,Real,Real,Real,P/E10 or
Date,P,D,E,CPI,Fraction,Rate GS10,Price,Dividend,Earnings,CAPE
1883.02,5.68,0.32,0.43,10.09,1883.12,3.63,140.16,7.94,10.49,14.76
1883.03,5.75,0.32,0.42,9.99,1883.21,3.63,143.24,8.03,10.53,15.05
1883.04,5.87,0.32,0.42,9.90,1883.29,3.63,147.64,8.13,10.56,15.48
1883.05,5.77,0.32,0.42,9.80,1883.37,3.63,146.53,8.23,10.60,15.34
1883.06,5.82,0.33,0.42,9.51,1883.46,3.63,152.23,8.50,10.86,15.90
1883.07,5.73,0.33,0.41,9.32,1883.54,3.63,152.94,8.70,11.01,15.95
1883.08,5.47,0.33,0.41,9.32,1883.62,3.62,146.00,8.72,10.94,15.20
1883.09,5.53,0.33,0.41,9.23,1883.71,3.62,149.12,8.83,10.99,15.49
1883.1,5.38,0.33,0.41,9.23,1883.79,3.62,145.08,8.85,10.92,15.05
1883.11,5.46,0.33,0.40,9.13,1883.87,3.62,148.77,8.97,10.97,15.41
1883.12,5.34,0.33,0.40,9.23,1883.96,3.62,144.00,8.90,10.79,14.90
1884.01,5.18,0.33,0.39,9.23,1884.04,3.62,139.69,8.85,10.58,14.43
1884.02,5.32,0.33,0.39,9.23,1884.12,3.61,143.46,8.81,10.38,14.81
1884.03,5.30,0.33,0.38,9.23,1884.21,3.60,142.92,8.76,10.18,14.74
1884.04,5.06,0.32,0.37,9.04,1884.29,3.60,139.32,8.90,10.19,14.35
1884.05,4.65,0.32,0.36,8.85,1884.37,3.59,130.79,9.05,10.20,13.47
1884.06,4.46,0.32,0.36,8.85,1884.46,3.58,125.44,9.00,9.98,12.91
1884.07,4.46,0.32,0.35,8.75,1884.54,3.57,126.81,9.05,9.88,13.04
1884.08,4.74,0.32,0.34,8.75,1884.62,3.56,134.77,9.00,9.67,13.86
1884.09,4.59,0.32,0.33,8.66,1884.71,3.55,131.94,9.05,9.56,13.57
1884.1,4.44,0.31,0.33,8.56,1884.79,3.55,129.04,9.11,9.45,13.27
1884.11,4.35,0.31,0.32,8.37,1884.87,3.54,129.30,9.26,9.44,13.30
1884.12,4.34,0.31,0.31,8.28,1884.96,3.53,130.49,9.32,9.32,13.43
1885.01,4.24,0.30,0.31,8.28,1885.04,3.52,127.48,9.15,9.22,13.13
1885.02,4.37,0.30,0.30,8.37,1885.12,3.51,129.89,8.87,9.02,13.38
1885.03,4.38,0.29,0.30,8.18,1885.21,3.50,133.22,8.90,9.12,13.73
1885.04,4.37,0.29,0.30,8.28,1885.29,3.48,131.39,8.62,8.92,13.55
1885.05,4.32,0.28,0.29,8.09,1885.37,3.47,132.94,8.64,9.03,13.71
1885.06,4.30,0.28,0.29,7.90,1885.46,3.46,135.51,8.67,9.14,13.98
1885.07,4.46,0.27,0.29,7.99,1885.54,3.45,138.88,8.38,8.93,14.33
1885.08,4.71,0.26,0.28,7.99,1885.62,3.43,146.67,8.20,8.82,15.13
